"id","name"
1715,"Antoine Guisan"
1716,"Stephan Gunter"
1717,"Tibor Gyalog"
1718,"Martin Gysel"
1719,"Patrick Haas"
1720,"Andreas Häberle"
1721,"Gillaume Habert"
1722,"Alexander Haefele"
1723,"Frank Hagedorn"
1724,"Martin Hägeli"
1725,"Anders Hagfeldt"
1726,"Michael Hahn"
1727,"François Hainard"
1728,"Christoph Halbig"
1729,"Alex Hall"
1730,"Marcus Hall"
1731,"Tobias Haller"
1732,"Thomas Hammer"
1733,"Frederik Hammes"
1734,"Peter Hänni"
1735,"Dennis Hansen"
1736,"Roland Hany"
1737,"Paul Hardegger"
1738,"Christian Hardtke"
1739,"Vinzenz Härri"
1740,"Hanna Hartikainen"
1741,"Andreas Häseli"
1742,"Christel Hassler"
1743,"Christian Hauck"
1744,"Gerald Haug"
1745,"Sophia Haussener"
1746,"Yves Hausser"
1747,"Thomas Hebeisen"
1748,"Norbert Heeb"
1749,"Thomas Heim"
1750,"Wernli Heini"
1751,"Hans Rudolf Heinimann"
1752,"Christoph A. Heinrich"
1753,"Ita Heinze-Greenberg"
1754,"Oliver Heiri"
1755,"Jürg Helbling"
1756,"Stefanie Hellweg"
1757,"Luka Henryk"
1758,"Janet Hering"
1759,"Frédéric Herman"
1760,"Jörg Hermann"
1761,"Hans Jürgen Herrmann"
1762,"Anna Hersperger"
1763,"Stefan Hertwig"
1764,"Marco Herwegh"
1765,"Hans Peter Herzig"
1766,"Felix Herzog"
1767,"Nicoleta Herzog"
1768,"Sebastian Heselhaus"
1769,"Peter Hettich"
1770,"Jürg Hiltbrunner"
1771,"Lorenz Hilty"
1772,"Hariet Hinz"
1773,"Ann Hirt"
1774,"Roland Hischier"
1775,"Martina Hobi"
1776,"Andreas Hochuli"
1777,"Peter Andreas Hochuli"
1778,"Petra Hodgson"
1779,"Roland Hodler"
1780,"Michael Hoeckel"
1781,"Martin Hoelzle"
1782,"Christian Hof"
1783,"Volker Hoffmann"
1784,"Beda Hofmann"
1785,"Heike Hofmann"
1786,"Thomas Hofstetter"
1787,"Roman Högg"
1789,"Rolf Holderegger"
1790,"Juliane Hollender"
1791,"Christof Holliger"
1792,"Eduard Holliger"
1794,"Patricia Holm"
1795,"Stefan Holzer"
1796,"Robert Home"
1797,"Nancy Hopf"
1798,"Merja Hoppe"
1799,"Katia Horber-Papazian"
1800,"Illia Horenko"
1801,"Benedict Hotz"
1803,"Xile Hu"
1804,"Haosheng Huang"
1805,"Reto Huber"
1806,"Marc Hufty"
1807,"Gabriela Hug"
1808,"Stephan Hug"
1809,"Christian Huggel"
1810,"Peter Huggenberger"
1811,"Christoph Hugi"
1812,"Christoph Hüglin"
1813,"Konrad  Hungerbühler"
1814,"Daniel Hunkeler"
1815,"Marcel Hunziker"
1816,"Lorenz Hurni"
1817,"Bastiaan Ibelings"
1818,"Auke Ijspeert"
1819,"Karlin Ilya"
1820,"Lifa Imad"
1822,"Jens Ingensand"
1823,"Ingo Burgert"
1824,"Karin Ingold"
1825,"Regula Iseli"
1827,"Samuel Jaccard"
1828,"Andrew Jackson"
1829,"Koella Jacob"
1830,"Stefanie Jacomet"
1832,"Michaël Jakob"
1833,"Elisabeth Janssen"
1834,"Otfried Jarren"
1835,"Bernard Jeangros"
1836,"Yvan Jeanneret"
1837,"Pierre-Yves Jeannin"
1838,"Claude Jeanrenaud"
1841,"Lukas Jenni"
1842,"Patrick Jenny"
1843,"Mauro Jermini"
1844,"David Russel Johnson"
1845,"Jukka Jokela"
1846,"Tobias Jonas"
1847,"Colin Jones"
1848,"Fortunat Joos"
1849,"Hannes Jörg"
1850,"Adriano Joss"
1851,"Walter Joyce"
1852,"Tim Julian"
1853,"Ranka Junge"
1854,"Antje Junghans"
1855,"Pilar Junier"
